model,MONTH,Independent_variable,Dependent_variable,slope,intercept,pvalue,rsquare,N
1,1,Frond density in January,FSC dry in January,0.07154,0,<.0001,0.96,41
1,2,Frond density in February,FSC dry in February,0.07578,0,<.0001,0.94,45
1,3,Frond density in March,FSC dry in March,0.0872,0,<.0001,0.95,45
1,4,Frond density in April,FSC dry in April,0.09642,0,<.0001,0.95,46
1,5,Frond density in May,FSC dry in May,0.09922,0,<.0001,0.94,48
1,6,Frond density in June,FSC dry in June,0.09355,0,<.0001,0.93,48
1,7,Frond density in July,FSC dry in July,0.08648,0,<.0001,0.91,48
1,8,Frond density in August,FSC dry in August,0.08359,0,<.0001,0.87,48
1,9,Frond density in September,FSC dry in September,0.07447,0,<.0001,0.85,48
1,10,Frond density in October,FSC dry in October,0.072,0,<.0001,0.85,45
1,11,Frond density in November,FSC dry in November,0.06032,0,<.0001,0.93,48
1,12,Frond density in December,FSC dry in December,0.06594,0,<.0001,0.94,48
2,1,Frond density in January,Canopy FSC dry in January,0.02212,0,<.0001,0.77,41
2,2,Frond density in February,Canopy FSC dry in February,0.02904,0,<.0001,0.75,45
2,3,Frond density in March,Canopy FSC dry in March,0.03795,0,<.0001,0.83,45
2,4,Frond density in April,Canopy FSC dry in April,0.04858,0,<.0001,0.86,46
2,5,Frond density in May,Canopy FSC dry in May,0.05024,0,<.0001,0.85,48
2,6,Frond density in June,Canopy FSC dry in June,0.04472,0,<.0001,0.82,48
2,7,Frond density in July,Canopy FSC dry in July,0.03907,0,<.0001,0.78,48
2,8,Frond density in August,Canopy FSC dry in August,0.03561,0,<.0001,0.67,48
2,9,Frond density in September,Canopy FSC dry in September,0.02793,0,<.0001,0.55,48
2,10,Frond density in October,Canopy FSC dry in October,0.02317,0,<.0001,0.48,45
2,11,Frond density in November,Canopy FSC dry in November,0.01394,0,<.0001,0.53,48
2,12,Frond density in December,Canopy FSC dry in December,0.01714,0,<.0001,0.66,48
3,1,Frond density in January,Water Column FSC dry in January,0.04942,0,<.0001,1.00,41
3,2,Frond density in February,Water Column FSC dry in February,0.04674,0,<.0001,0.99,45
3,3,Frond density in March,Water Column FSC dry in March,0.04925,0,<.0001,0.99,45
3,4,Frond density in April,Water Column FSC dry in April,0.04783,0,<.0001,1.00,46
3,5,Frond density in May,Water Column FSC dry in May,0.04897,0,<.0001,0.99,48
3,6,Frond density in June,Water Column FSC dry in June,0.04883,0,<.0001,0.98,48
3,7,Frond density in July,Water Column FSC dry in July,0.04741,0,<.0001,0.98,48
3,8,Frond density in August,Water Column FSC dry in August,0.04799,0,<.0001,0.97,48
3,9,Frond density in September,Water Column FSC dry in September,0.04654,0,<.0001,0.98,48
3,10,Frond density in October,Water Column FSC dry in October,0.04882,0,<.0001,0.98,45
3,11,Frond density in November,Water Column FSC dry in November,0.04638,0,<.0001,0.99,48
3,12,Frond density in December,Water Column FSC dry in December,0.0488,0,<.0001,0.99,48
4,1,Frond density in January,Seasonal NPP dry in winter,0.00229,0.00103,<.0001,0.83,40
4,2,Frond density in February,Seasonal NPP dry in winter,0.00251,0.00119,<.0001,0.85,44
4,3,Frond density in March,Seasonal NPP dry in winter,0.00273,0.00196,<.0001,0.85,44
4,4,Frond density in April,Seasonal NPP dry in spring,0.00313,0.0003,<.0001,0.87,41
4,5,Frond density in May,Seasonal NPP dry in spring,0.00285,-0.00002,<.0001,0.90,41
4,6,Frond density in June,Seasonal NPP dry in spring,0.00264,-0.00044,<.0001,0.84,41
4,7,Frond density in July,Seasonal NPP dry in summer,0.00282,-0.00045,<.0001,0.77,47
4,8,Frond density in August,Seasonal NPP dry in summer,0.00257,-0.0016,<.0001,0.77,47
4,9,Frond density in September,Seasonal NPP dry in summer,0.00231,-0.00128,<.0001,0.66,47
4,10,Frond density in October,Seasonal NPP dry in autumn,0.00182,0.00038,<.0001,0.81,44
4,11,Frond density in November,Seasonal NPP dry in autumn,0.00175,0.00144,<.0001,0.69,47
4,12,Frond density in December,Seasonal NPP dry in autumn,0.00171,0.00176,<.0001,0.71,47
5,1,Frond density in January,Seasonal NPP carbon in winter,0.00066,0.00032,<.0001,0.87,40
5,2,Frond density in February,Seasonal NPP carbon in winter,0.00072,0.00035,<.0001,0.88,44
5,3,Frond density in March,Seasonal NPP carbon in winter,0.00078,0.00058,<.0001,0.87,44
5,4,Frond density in April,Seasonal NPP carbon in spring,0.00089,0.00015,<.0001,0.90,41
5,5,Frond density in May,Seasonal NPP carbon in spring,0.00081,0.00005,<.0001,0.93,41
5,6,Frond density in June,Seasonal NPP carbon in spring,0.00076,-0.00009,<.0001,0.89,41
5,7,Frond density in July,Seasonal NPP carbon in summer,0.00079,0.00004,<.0001,0.80,47
5,8,Frond density in August,Seasonal NPP carbon in summer,0.00073,-0.00033,<.0001,0.82,47
5,9,Frond density in September,Seasonal NPP carbon in summer,0.00066,-0.00025,<.0001,0.71,47
5,10,Frond density in October,Seasonal NPP carbon in autumn,0.00053,0.00014,<.0001,0.77,44
5,11,Frond density in November,Seasonal NPP carbon in autumn,0.00053,0.00032,<.0001,0.73,47
5,12,Frond density in December,Seasonal NPP carbon in autumn,0.00052,0.00042,<.0001,0.75,47
6,1,Frond density in January,Anuual NPP dry,0.00166,0.0025,<.0001,0.69,40
6,2,Frond density in February,Anuual NPP dry,0.00192,0.00245,<.0001,0.77,44
6,3,Frond density in March,Anuual NPP dry,0.00204,0.00316,<.0001,0.73,44
6,4,Frond density in April,Anuual NPP dry,0.00196,0.00319,<.0001,0.77,44
6,5,Frond density in May,Anuual NPP dry,0.00186,0.00286,<.0001,0.82,44
6,6,Frond density in June,Anuual NPP dry,0.00189,0.00223,<.0001,0.86,44
6,7,Frond density in July,Anuual NPP dry,0.00226,0.00086,<.0001,0.86,44
6,8,Frond density in August,Anuual NPP dry,0.00186,0.00063,<.0001,0.76,44
6,9,Frond density in September,Anuual NPP dry,0.00163,0.00088,<.0001,0.65,44
6,10,Frond density in October,Anuual NPP dry,0.0014,0.00169,<.0001,0.49,41
6,11,Frond density in November,Anuual NPP dry,0.00115,0.00283,<.0001,0.38,44
6,12,Frond density in December,Anuual NPP dry,0.00096,0.00374,0.0002,0.29,44
7,1,Frond density in January,Annual NPP carbon,0.00048,0.00082,<.0001,0.70,40
7,2,Frond density in February,Annual NPP carbon,0.00055,0.00079,<.0001,0.78,44
7,3,Frond density in March,Annual NPP carbon,0.00057,0.00101,<.0001,0.71,44
7,4,Frond density in April,Annual NPP carbon,0.00055,0.00101,<.0001,0.76,44
7,5,Frond density in May,Annual NPP carbon,0.00053,0.00091,<.0001,0.82,44
7,6,Frond density in June,Annual NPP carbon,0.00054,0.00072,<.0001,0.87,44
7,7,Frond density in July,Annual NPP carbon,0.00066,0.00029,<.0001,0.89,44
7,8,Frond density in August,Annual NPP carbon,0.00055,0.00021,<.0001,0.80,44
7,9,Frond density in September,Annual NPP carbon,0.00048,0.00027,<.0001,0.70,44
7,10,Frond density in October,Annual NPP carbon,0.00041,0.00052,<.0001,0.53,41
7,11,Frond density in November,Annual NPP carbon,0.00034,0.00085,<.0001,0.40,44
7,12,Frond density in December,Annual NPP carbon,0.00028,0.00112,<.0001,0.31,44
8,1,Frond density in January,Subsurface FSC dry in January,0.02766,0,<.0001,0.98,41
8,2,Frond density in February,Subsurface FSC dry in February,0.0238,0,<.0001,0.96,45
8,3,Frond density in March,Subsurface FSC dry in March,0.02316,0,<.0001,0.97,45
8,4,Frond density in April,Subsurface FSC dry in April,0.02123,0,<.0001,0.94,46
8,5,Frond density in May,Subsurface FSC dry in May,0.02031,0,<.0001,0.96,48
8,6,Frond density in June,Subsurface FSC dry in June,0.02067,0,<.0001,0.97,48
8,7,Frond density in July,Subsurface FSC dry in July,0.02129,0,<.0001,0.98,48
8,8,Frond density in August,Subsurface FSC dry in August,0.02348,0,<.0001,0.96,48
8,9,Frond density in September,Subsurface FSC dry in September,0.02549,0,<.0001,0.95,48
8,10,Frond density in October,Subsurface FSC dry in October,0.02866,0,<.0001,0.95,45
8,11,Frond density in November,Subsurface FSC dry in November,0.03006,0,<.0001,0.95,48
8,12,Frond density in December,Subsurface FSC dry in December,0.02785,0,<.0001,0.97,48
9,1,Dry weight (kg m-2) in January,Seasonal NPP carbon in January,0.00878,0.00039,<.0001,0.84,40
9,2,Dry weight (kg m-2) in February,Seasonal NPP carbon in February,0.0088,0.00048,<.0001,0.84,44
9,3,Dry weight (kg m-2) in March,Seasonal NPP carbon in March,0.00802,0.00081,<.0001,0.80,44
9,4,Dry weight (kg m-2) in April,Seasonal NPP carbon in April,0.01092,0.00023,<.0001,0.90,41
9,5,Dry weight (kg m-2) in May,Seasonal NPP carbon in May,0.00934,0.00016,<.0001,0.94,41
9,6,Dry weight (kg m-2) in June,Seasonal NPP carbon in June,0.00892,-0.00007,<.0001,0.96,41
9,7,Dry weight (kg m-2) in July,Seasonal NPP carbon in July,0.00823,0.00043,<.0001,0.87,47
9,8,Dry weight (kg m-2) in August,Seasonal NPP carbon in August,0.00742,0.00034,<.0001,0.94,47
9,9,Dry weight (kg m-2) in September,Seasonal NPP carbon in September,0.00797,0.00021,<.0001,0.95,47
9,10,Dry weight (kg m-2) in October,Seasonal NPP carbon in October,0.00477,0.00104,<.0001,0.51,44
9,11,Dry weight (kg m-2) in November,Seasonal NPP carbon in November,0.00892,0.0002,<.0001,0.80,47
9,12,Dry weight (kg m-2) in December,Seasonal NPP carbon in December,0.00801,0.00033,<.0001,0.84,47
