SP_CODE,GENUS,SPECIES,CHN_spp,AFD_spp,Dry_wet,afd_Dry,SE_Drywet,SE_afd_Dry,Drywet_N,afd_Dry_N,Carbon,SE_Carbon,Nitrogen,SE_Nitrogen,CN,SE_CN,CN_N
AMZO,Amphiroa,zonata,CO,RAT,0.17,0.38,0.006,0.03,0,0,34.71,2.49,3.96,0.18,8.8,0.6,0
ANPA,Anisocladella,pacifica,R,R,0.16,0.47,0.005,0.037,112,12,25.96,0.36,3.34,0.04,7.8,0.1,36
AU,Acrosorium,uncinatum,CF,CF,0.11,0.39,0.005,0.005,36,12,22.03,0.41,2.96,0.07,7.5,0.3,10
BF,Cryptopleura,farlowianum,BF,BF,0.17,0.26,0.006,0.02,15,12,27.21,0.74,3.21,0.07,8.5,0.4,10
BLD,Unidentified brown blade,spp.,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
BO,Bossiella,orbigniana,BO,RAT,0.22,0.38,0.14,0.03,10,0,35.45,2.56,5.21,0.42,6.9,0.3,10
BR,Blady red,spp.,CC,POLA,0.15,0.25,0.003,0.01,126,0,25.64,0.35,2.21,0.06,11.9,0.3,46
BRA,Branching Red Algae,spp.,R,R,0.16,0.47,0.005,0.037,112,12,25.96,0.36,3.34,0.04,7.8,0.1,36
CAL,Calliarthron,cheilosporioid,CO,RAT,0.13,0.38,0.012,0.03,0,0,34.71,2.49,3.96,0.18,8.8,0.6,10
CC,Chondracanthus,spp.,CC,BF,0.15,0.26,0.003,0.02,126,0,25.64,0.35,2.21,0.06,11.9,0.3,46
CF,Callophyllis,flabellulata,CF,CF,0.11,0.39,0.005,0.005,36,12,22.03,0.41,2.96,0.07,7.5,0.3,10
CG,Cladophora,graminea,RAT,RAT,0.19,0.38,0.05,0.025,4,12,24.18,1.26,2.91,0.14,8.5,0.7,10
CO,Corallina,officinalis,CO,RAT,0.22,0.38,0.012,0.03,0,0,34.71,2.49,3.96,0.18,8.8,0.6,10
COF,Codium,fragile,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
CP,Colpomenia,spp.,POLA,POLA,0.13,0.25,0.006,0.012,9,12,23.56,0.51,3.84,0.11,6.1,0.1,10
CRYP,Cryptopleura,spp.,BF,BF,0.17,0.26,0.006,0.02,15,12,27.21,0.74,3.21,0.07,8.5,0.4,10
CYJ,Cystoseira,osmundaceae,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
CYOS,Cystoseira,,CYOS,CYOS,0.15,0.35,0.002,0.017,115,24,29.77,0.44,1.53,0.04,19.9,0.7,30
CYOS_R,Cystoseira,osmundaceae,CYOS,CYOS,0.15,0.35,0.002,0.017,115,24,29.77,0.44,1.53,0.04,19.9,0.7,30
CZ,Chondracanthus,spinosa,CC,BF,0.15,0.39,0.003,0.09,126,0,25.64,0.35,2.21,0.06,11.9,0.3,46
DIAT,Diatom,Mat,CO,RAT,0.22,0.38,0.012,0.03,0,0,34.71,2.49,3.96,0.18,8.8,0.6,10
DL,Desmarestia,ligulata,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
DP,Dictyota,spp.,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
DU,Dictyopteris,undulata,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
EA,Eisenia,arborea,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
EAJ,Eisenia,arborea,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
EC,Encrusting,coralline,CO,RAT,0.22,0.38,0.012,0.03,0,0,34.71,2.49,3.96,0.18,8.8,0.6,10
EGJ,Egregia,menziesii,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
EGME,Egregia,menziesii,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
ER,Encrusting,red,CO,RAT,0.22,0.38,0.012,0.03,0,0,34.71,2.49,3.96,0.18,8.8,0.6,10
FASP,Fauchea,spp.,R,R,0.16,0.47,0.005,0.037,112,12,25.96,0.36,3.34,0.04,7.8,0.1,36
FB,Filamentous brown,spp.,PTCA,PTCA,0.12,0.32,0.035,0.051,0,0,28.35,0.44,2.13,0.04,13.4,0.2,0
FG,Filamentous green,spp.,DL,DL,0.09,0.4,0.006,0.032,0,0,20.25,1.34,2.02,0.12,10.5,1.1,0
FR,Filamentous red,spp.,RAT,RAT,0.14,0.39,0.03,0.05,0,0,24.18,1.26,2.91,0.14,8.5,0.68,10
FTHR,Neoptilota Ptilota Rhodoptilum,spp.,RAT,RAT,0.1,0.39,0.014,0.05,0,0,24.18,1.26,2.91,0.14,8.5,0.68,10
GEL,Gelidium,spp.,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
GR,Gelidium,robustum,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
GS,Gracilaria,spp.,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
GYSP,Gymnogongrus,spp.,GYSP,R,0.2,0.47,0.02,0.037,3,0,29.97,1.53,2.91,0.15,10.3,0,2
HAGL,Halosaccion,glandiforme,POLA,POLA,0.13,0.25,0.006,0.012,9,12,23.56,0.51,3.84,0.11,6.1,0.1,10
IR,Iridaea,spp.,CC,BF,0.15,0.39,0.003,0.09,126,0,25.64,0.35,2.21,0.06,11.9,0.3,46
LAFA,Laminaria,farlowii,LAFA,LAFA,0.13,0.35,0.007,0.018,56,12,24.97,0.85,2.03,0.06,12.3,0.3,10
LFJ,Laminaria,farlowii,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
LI,Lithothrix,spp.,CO,RAT,0.22,0.38,0.012,0.03,0,0,34.71,2.49,3.96,0.18,8.8,0.6,10
LS,Laurencia,spp.,RAT,RAT,0.14,0.39,0.03,0.05,0,0,24.18,1.26,2.91,0.14,8.5,0.68,0
LX,Laurencia,spectabilis,RAT,RAT,0.14,0.39,0.03,0.05,0,0,24.18,1.26,2.91,0.14,8.5,0.68,0
MAPY,Macrocystis,pyrifera,MAPY,MAPY,0.13,0.27,0.002,0.23,172,12,31.86,0.16,2.21,0.03,16.5,0.24,941
MPJ,Macrocystis,pyrifera,MAPY,MAPY,0.13,0.27,0.002,0.23,172,12,28.35,0.44,2.13,0.04,13.4,0.2,941
MPJ33,Macrocystis,pyrifera,MAPY,MAPY,0.13,0.27,0.002,0.23,172,12,28.35,0.44,2.13,0.04,13.4,0.2,941
MPJ66,Macrocystis,pyrifera,MAPY,MAPY,0.13,0.27,0.002,0.23,172,12,28.35,0.44,2.13,0.04,13.4,0.2,941
MPJ99,Macrocystis,pyrifera,MAPY,MAPY,0.13,0.27,0.002,0.23,172,12,28.35,0.44,2.13,0.04,13.4,0.2,941
NA,Nienburgia,andersoniana,CF,CF,0.11,0.39,0.005,0.005,36,12,22.03,0.41,2.96,0.07,7.5,0.3,10
NEO,Neoagardhiella,baileyi,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
PHSE,Phycodrys,setchellii,CF,CF,0.11,0.39,0.005,0.005,36,12,22.03,0.41,2.96,0.07,7.5,0.3,10
PHTO,Phyllospadix,torreyi,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
PL,Prionitis,lanceolata,GYSP,R,0.2,0.47,0.02,0.037,3,0,29.97,1.53,2.91,0.15,10.3,0,2
POLA,Polyneura,latissima,POLA,POLA,0.13,0.25,0.006,0.012,9,12,23.56,0.51,3.84,0.11,6.1,0.1,10
PRSP,Prionitis,spp.,GYSP,R,0.2,0.47,0.02,0.037,3,0,29.97,1.53,2.91,0.15,10.3,0,2
PTCA,Pterygophora,californica,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
PTJ,Pterygophora,californica,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
PTL,Pterygophora,californica,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
R,Rhodymenia,californica,R,R,0.16,0.47,0.005,0.037,112,12,25.96,0.36,3.34,0.04,7.8,0.1,36
RAT,Red algal turf,spp.,RAT,RAT,0.19,0.39,0.05,0.005,0,0,24.18,1.26,2.91,0.14,8.5,0.68,10
SAFU,Sarcodiotheca,furcata,CF,CF,0.11,0.39,0.005,0.005,36,12,22.03,0.41,2.96,0.07,7.5,0.3,10
SAHO,Sargassum,hornerii,CYOS,CYOS,0.14,0.35,0.002,0.02,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
SAMU,Sargassum,muticum,CYOS,CYOS,0.14,0.35,0.002,0.02,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
SCCA,Scinaia,confusa,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
SELO,Scytosiphon,lomentaria,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
SHJ,Sargassum,hornerii,CYOS,CYOS,0.14,0.35,0.002,0.02,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
SMJ,Sargassum,muticum,CYOS,CYOS,0.14,0.35,0.002,0.02,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
STIN,Stenogramme,interrupta,R,R,0.16,0.47,0.005,0.037,112,12,25.96,0.36,3.34,0.04,7.8,0.1,36
TALE,Taonia,lennebackerae,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
UBB,Unidentified brown blade,spp.,CYOS,CYOS,0.15,0.35,0.002,0.017,115,24,29.77,0.44,1.53,0.04,19.9,0.7,30
UEC,Unidentified erect coralline,spp.,CO,RAT,0.22,0.38,0.012,0.03,0,0,34.71,2.49,3.96,0.18,8.8,0.6,10
UV,Ulva,spp.,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
ZOMA,Zostera,marina,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
SAGA,Sarcodiotheca gaudichaudii,spp.,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
