"year.quarter","ABUR1","ABUR2","AQUE1","AQUE2","AQUE3","AQUE4","AQUE5","AQUE6","BULL1","BULL3","BULL6","CARP1","CARP2","CARP3","CARP4","CARP5","CARP6","CARP7","CARP8","GOLB1","GOLB2","GOLB3","HORA1","HORA2","HORA3","INNP1","INNP2","INNP3","IVEE1","IVEE10","IVEE11","IVEE2","IVEE3","IVEE5","IVEE6","IVEE7","IVEE8","IVEE9","LEAD1","LEAD2","LEAD3","MESA1","MESA2","MESA3","MOHK1","MOHK2","NAPL1","NAPL2","NAPL3","NAPL4","NAPL5","NAPL6","NAPL7","NAPL8","OAKS1","OAKS2","OAKS3","REFU1","REFU2","REFU3","STEP2","STEP3","TANK1","TANK2","TANK3","WOOD1","WOOD2","WOOD3"
2008,0,0,87.6573083333333,25.6028666666667,0,67.9465833333333,255.39875,254.173333333333,0,0,0,0,37.21236,0,0,0,0,0,0,0,0,0,0,8.28375,0,0,0,0,0,10.3248333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38441666666667,0.388504375,0,0,0,0,0,0,0,0,0,0,0.156033333333333,0.156033333333333,28.8901214285714,15.2994625,0.45785625,0,0,0,7.14091666666667,71.7783857142857,0,0,0
2008.25,0,0,365.562222222222,257.011944444444,0,101.575277777778,379.233208333333,214.164555555556,0,0,0,9.31916666666667,550.31380952381,0.355128875,0.209011111111111,18.1255555555556,1.02297222222222,0.382774444444444,6.60055,1.24895761904762,1.12136,46.0224471428571,0,0.430343888888889,0.0949851428571429,280.021625,121.211388888889,29.2408888888889,126.419208333333,105.087722222222,17.4260555555556,121.087458333333,17.3598333333333,4.53622222222222,8.66525925925926,89.4083888888889,117.904571428571,0,0.00230438888888889,0.100091428571429,0,0,121.134583333333,0,20.19825,3.51275,0,0,0,0,0,0,0,0,0,0,0,349.073333333333,437.129166666667,1.77145833333333,0,0,34.1123333333333,221.8655,122.493428571429,12.7652916666667,0,299.420555555556
2008.5,0,0,117.534611111111,77.0511666666667,0,29.8508333333333,164.864583333333,53.7758333333333,0.0804875,0,0,197.702166666667,379.53380952381,16.0551833333333,407.495,142.857611111111,0,94.9427777777778,157.420777777778,0,0,5.24595238095238,0,0,0,425.671916666667,294.851666666667,3.06422222222222,15.6215958333333,9.59661111111111,0,15.4708583333333,298.82775,3.96744444444444,38.644,25.7303888888889,62.329619047619,0,0,0,0,0.113389047619048,6.79138333333333,54.3972777777778,42.2744208333333,24.5075458333333,0,0,0,0,0,0,0,0,0,0,0,270.817904761905,372.553333333333,0,0,0,15.5002777777778,81.9277777777778,39.7654285714286,0,0,169.558888888889
2008.75,0,0,205.521166666667,158.0215,0,41.2610711111111,105.354291666667,114.984333333333,44.288125,59.8927916666667,60.9521666666667,87.9712222222222,30.8514761904762,265.339166666667,207.806777777778,31.4393888888889,36.3395,146.184444444444,117.582277777778,29.9871904761905,18.2269444444444,0,0,0,0,319.589125,467.231666666667,0,213.173333333333,407.126666666667,86.4094444444444,304.03625,572.795833333333,208.525888888889,282.105037037037,26.4843333333333,52.0713333333333,0,0,0,0,0.0895861904761905,0.0698620833333333,11.5781666666667,97.023875,111.067416666667,0,0,0,0,0,0,0,0,0,0,0,158.340649206349,312.151875,1.4948,0.175211111111111,0.142504761904762,30.7248333333333,94.7600555555556,79.0466428571429,12.732875,0,236.501555555556
2009,0,0,389.422555555556,299.920055555556,6.71611111111111,264.9785,425.399166666667,362.539444444444,123.944708333333,105.983416666667,121.501333333333,173.465777777778,34.8919523809524,326.049708333333,174.934166666667,64.6764444444444,90.8683333333333,306.346,169.991111111111,453.031142857143,473.870277777778,195.685476190476,46.5245238095238,4.57511111111111,14.466,367.294958333333,464.002222222222,152.404388888889,456.9225,399.58,183.067222222222,459.75,577.1875,709.036666666667,696.792962962963,257.234944444444,325.307380952381,0,71.4542222222222,107.124,32.9806666666667,3.64771428571429,61.73675,343.112,473.911666666667,608.1975,0,0,0,0,0,0,0,0,0,0,0,287.457523809524,199.765208333333,2.67841666666667,161.887833333333,73.2310952380952,108.530166666667,178.702611111111,265.605904761905,170.556625,261.694944444444,546.695555555556
2009.25,0,0,248.268333333333,521.180833333333,0,388.613333333333,416.72375,351.94,220.28125,130.23325,186.591583333333,192.141666666667,56.6146396825397,272.342916666667,90.8489744444445,32.0411111111111,166.180555555556,237.242111111111,132.266666666667,712.953428571429,706.835333333333,430.81619047619,150.922011904762,166.656666666667,78.0290476190476,271.332916666667,550.562777777778,91.0722222222222,501.840833333333,497.986111111111,378.722777777778,581.972083333333,601.345,772.433333333333,782.167407407407,219.167222222222,229.189523809524,0,124.264888888889,171.621666666667,69.2833333333333,200.409428571429,274.321625,488.914444444444,805.50825,888.389166666667,0,0,0,0,0,0,0,0,0,0,0,386.859047619048,387.454583333333,117.613333333333,305.686666666667,128.394047619048,93.6705555555556,192.923444444444,138.554285714286,228.529333333333,404.727222222222,400.803888888889
2009.5,0,0,2.24672222222222,11.1618333333333,0,9.24088888888889,0,0,73.8502083333333,15.1569583333333,19.4013888888889,3.17111111111111,35.4521428571429,0,0.17002015,0.0399505555555556,0.0634611111111111,0,0.206556111111111,3.65209523809524,23.0751666666667,1.88842857142857,0,21.2700555555556,2.5557619047619,0,24.1476111111111,0,0,0,7.34144444444444,0,21.5659166666667,3.48655555555556,9.86051851851852,0,0,0,42.9659444444444,81.1293961904762,35.2833333333333,8.44285714285714,16.2545416666667,4.68662222222222,131.751666666667,76.0825,0,0,0,0,0,0,0,0,0,0,0,19.3552380952381,59.5682083333333,25.950375,19.1715833333333,15.4024952380952,4.06127777777778,6.1455,0,14.66275,13.7829444444444,0
2009.75,0,0,23.5412777777778,20.0447222222222,0,0,0,10.7022777777778,59.5379166666667,55.000875,75.9422777777778,45.0595555555556,1.60489571428571,20.408875,0.0647666666666667,0,18.9048198333333,33.92,0,0,0,0,1.62,42.1795,8.43180952380952,3.21045833333333,16.7485555555556,0,2.15725,6.12783333333333,26.6231666666667,6.0735,0,40.3304444444444,31.0798518518519,33.6114444444444,0,0,6.97977777777778,35.2739695238095,0,0,0,0,1.48675,0.799229166666667,0,0,0,0,0,0,0,0,0,0,0,23.5378571428571,52.9513630952381,1.36555416666667,4.80755555555556,0,0,4.78372222222222,0.0511428571428571,0,0,0
2010,0,0,11.1570555555556,4.28277777777778,0,2.54713333333333,6.769,55.29405,0,2.58966666666667,4.242,0,0,0,0,0,0,0,0,0,0,0.0775085714285714,33.7679523809524,28.8068555555556,9.10715238095238,12.4454583333333,22.4405,26.4791666666667,19.6825,199.277,73.4208333333333,42.8816666666667,0,2.00933333333333,7.49481481481482,41.9333333333333,29.1601904761905,0,0,0,0,0,7.37525,0,22.35925,43.3020833333333,0,0,0,0,0,0,0,0,0.120235,0.103575,0.103575,60.1027142857143,36.1530833333333,0,15.2351555555556,12.962380952381,6.10233333333333,0,0,119.103541666667,0,44.3788333333333
2010.25,0,0,41.7073333333333,58.5025833333333,0,0,3.859814375,137.534833333333,3.989625,22.9349375,42.6561666666667,0,0,0.355128875,0.217606111111111,0,0.0690944444444444,0.382774444444444,0,0,5.80875,11.6993085714286,105.808071428571,139.920583333333,63.6042857142857,175.981625,251.9275,106.306333333333,26.0075,325.606666666667,183.859166666667,133.0983125,0,64.6125,86.0816111111111,90.2533333333333,81.7224285714286,0,0,0.137251357142857,0,72.5151428571429,67.513625,0,0,19.4179375,0,0,0,0,0,0,0,0,0,0,0,151.567428571429,193.102375,13.3413125,0,0,90.8185833333333,47.6675,0,349.365625,17.9533333333333,342.1725
2010.5,0,0,145.933166666667,143.006111111111,0,13.9653055555556,0.0295816666666667,61.7169372222222,52.7903869047619,100.439095238095,137.62,89.0988333333333,707.708095238095,4.24005857142857,28.6769,81.3058333333333,0.0600055555555556,0,0,13.5303714285714,19.1893777777778,16.907619047619,181.260476190476,206.616666666667,85.2106825396825,549.081666666667,803.977222222222,164.547388888889,34.2525833333333,421.562777777778,268.142166666667,143.727958333333,59.1216666666667,304.358,378.347296296296,294.599444444444,249.329333333333,0,0,0,0,178.517819047619,155.119316666667,290.468333333333,161.350416666667,238.868333333333,0,0,0,0,0,0,0,0,0,0,0,348.767428571429,457.997083333333,157.621666666667,49.8755555555556,0,275.878333333333,222.047333333333,0,434.930791666667,119.431666666667,594.216666666667
2010.75,0,0,40.6195555555556,68.0511666666667,0,17.8049444444444,0,1.66772222222222,2.85854166666667,2.85854166666667,13.3378888888889,5.56038888888889,181.665238095238,18.1937083333333,4.28688888888889,12.7426783333333,0.00470577777777778,0,0,0,0,0,51.752,95.3773333333333,54.6252857142857,49.2148333333333,93.6461111111111,29.8837777777778,0,2.64161111111111,0,0,9.18229166666667,1.92177777777778,1.28118518518519,3.10355555555556,1.95609523809524,0,20.9956111111111,34.6882380952381,0,0,0,12.8047777777778,37.2234875,51.78525,0,0,0,0,0,0,0,0,0,0,0,52.6142857142857,80.91475,25.716625,0,0,32.4294444444444,16.4722147222222,0,3.17208333333333,0,8.53155555555556
2011,0,0,8.955,28.4358888888889,0,29.5636111111111,1.19453208333333,4.96759722222222,0,0,0,0,214.266,3.51015358333333,0,2.70977777777778,0.0344738888888889,0.117988888888889,0,15.8488571428571,16.6977777777778,0,8.992,0,0,23.8138333333333,11.4703333333333,0,0,0,0,0,10.8978333333333,11.4154444444444,13.8770740740741,2.39466666666667,4.59879175238095,0,59.6647777777778,76.5972857142857,14.7363333333333,0,0,17.0306111111111,211.3375,307.922083333333,0,0,0,0,0,0,0,0,0,0,0,31.0783333333333,45.7522916666667,6.06879166666667,4.87571333333333,0,0,0,2.09309523809524,0,0,13.4126666666667
2011.25,0,0,0,89.2163333333333,19.9416666666667,139.91475,0.109389375,0.370041666666667,0,0.10515,0.0137372222222222,0,622.885714285714,0.004730375,0.1275147,35.72413,0.0932041666666667,0.176983333333333,0.154921666666667,274.24019047619,239.291777777778,5.36904761904762,9.77142857142857,0.0706827777777778,0,361.40875,390.591666666667,1.82733333333333,0,0,0,0,330.7994375,258.280666666667,318.055444444444,74.3315833333333,64.4012142857143,0,0,0,0,11.412619047619,0,447.848833333333,209.786491666667,278.286416666667,0,0,0,0,0,0,0,0,0,0,0,79.0158571428571,167.6446875,28.5670625,75.3836111111111,0,0,0,0,0,0,326.113916666667
2011.5,0,0,0,53.5232222222222,0,128.119777777778,0.430529166666667,0.0201244444444444,1.3835,1.3835,0,0.107605555555556,718.640476190476,0,0,25.1572222222222,0,0,0,223.681587301587,255.329166666667,15.4204285714286,0,0,0,449.0375,376.83,0,0,0,0,0,364.65125,281.0355,303.457555555556,180.532,176.011285714286,0,2.04975,11.3012857142857,0,47.9365714285714,19.6795625,522.75,374.2375,406.23375,0,0,0,0,0,0,0,0,0,0,0,113.990523809524,260.99255952381,28.5531666666667,75.721,5.83892857142857,6.38616666666667,0,0,1.87508333333333,9.81716666666667,370.687222222222
2011.75,0,0,0.385107222222222,5.3846,0,60.8035555555556,0,0,0.404872916666667,0.03895625,0,0,328.109642857143,0,0,0,0,0,0,15.575619047619,20.6430555555556,4.58204761904762,10.7154285714286,0,0,90.0429166666667,136.482333333333,4.54933333333333,0,0,0,0,290.771,194.590555555556,232.29062962963,163.924166666667,185.569523809524,0,0,13.927,0,0,2.67766666666667,26.1666666666667,9.89824166666667,39.6795880952381,0,0,0,0,0,0,0,0,0,0,0,201.809047619048,373.832083333333,0,19.9072222222222,0,7.42111111111111,0.0651388888888889,0.12182380952381,0,0,95.7543333333333
2012,0,0,0.142834777777778,18.3009166666667,0,170.581055555556,157.5525,3.317117,0,2.60833333333333,7.81,0.11655,185.595523809524,0,0,0,0.0829444444444444,0,0,103.972952380952,86.7501666666667,2.53376190476191,3.31438095238095,41.1623888888889,0,86.16775,84.8883888888889,30.2677777777778,0,0,0,0,119.779958333333,210.521333333333,227.280888888889,340.394444444444,379.576666666667,0,167.009444444444,176.94380952381,160.42,30.965380952381,6.70666666666667,117.565666666667,198.82225,311.997916666667,0,0,0,0,0,0,0,0,0,0,0,225.475714285714,317.038583333333,125.237666666667,102.974611111111,3.65252380952381,104.748333333333,0,0.275332222222222,0,0,211.471666666667
2012.25,0,0,0,11.7458333333333,37.9875555555556,190.577222222222,104.102023809524,22.5883333333333,21.148375,54.5535833333333,83.9191666666667,0,289.692285714286,0,0,0,0,0,0,400.967619047619,395.477333333333,103.284142857143,32.0314285714286,181.912277777778,0,279.00125,256.472777777778,304.988333333333,0,111.881611111111,11.1473888888889,29.7585555555556,285.322035714286,397.702222222222,455.587777777778,503.328888888889,518.010952380952,0,192.026833333333,184.113238095238,210.7425,391.355714285714,188.041666666667,279.086555555556,453.647083333333,523.57375,0,0,0,0,0,0,0,0,0,0,0,272.727047619048,558.99125,280.070625,260.818944444444,27.272380952381,82.5253333333333,4.66916666666667,0,127.378125,188.574166666667,618.963888888889
2012.5,0,0,0,0,0,0,0,0,1.92886666666667,6.22035654761905,57.6515555555556,0,103.463175,0,0,0.0435266666666667,0,0,0,28.3261904761905,24.8744444444444,0,0,0,0,0,42.0233333333333,0,0,0,0,0,124.456666666667,62.5088888888889,80.37,0,0,0,91.2486666666667,187.246357142857,160.4925,0,0,33.2005555555556,140.808061111111,125.238197222222,0,0,0,0,0,0,0,0,0,0,0,53.6990476190476,155.580416666667,63.86625,141.316666666667,17.655,0,0,0,0,18.5872222222222,56.4488888888889
2012.75,0,0,2.28228333333333,3.60133333333333,8.99088888888889,34.4848888888889,62.9883333333333,11.7955,1.60458333333333,0,19.0044444444444,0,18.575,0.00473041666666667,0,0,0.0775666666666667,0.176983333333333,0,0,0,0,19.1787619047619,45.0722222222222,12.450619047619,0,0,25.6503333333333,0,54.9870833333333,20.02,0,20.6168333333333,76.2338888888889,84.5366666666667,113.211666666667,132.282857142857,0,23.0210833333333,32.9435714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1337142857143,57.8796666666667,0,31.3902222222222,0,14.6753333333333,0.813363333333333,0,0,62.68,63.905
