group,sp_code,total_percover,scientific_name,annual_perrenial
epiSI,TC,536.25,Thalamoporella californica,
epiSI,ECB,252.5,Unidentified Encrusting Bryozoa spp. ,
epiSI,DIOR,240,Diopatra ornata,
epiSI,PRUB,170,Pachythyone rubra,
epiSI,DC,151.25,Diaperoforma californica,
epiSI,PA,121.25,Phragmatopoma californica,
epiSI,UT,110,Unidentified Didemnidae spp. ,
epiSI,ANSP,90,Anthopleura spp.,
epiSI,SE,90,Thylacodes squamigerus,
epiSI,CROC,63.75,Crisia occidentalis,
ua,EC,566.25,crustose coralline algae spp.,
ua,CYOS,388.75,Stephanocystis osmundacea,
ua,CO,363.75,Corallina officinalis,
ua,R,263.75,Rhodymenia californica,
ua,GS,242.5,Gracilaria spp.,
ua,CC,203.75,Chondracanthus corymbiferus; Chondracanthus exasperatus,
ua,AU,172.5,Acrosorium ciliolatum,
ua,DL,162.5,Desmarestia ligulata,
ua,NA_sp,148.75,Nienburgia andersoniana,
ua,RAT,113.75,small Ceramiaceae spp.,